"Project #","Project Title","Research Focus Area","Research Program","Administering IC(s)",Institution(s),Investigator(s),Location(s),"Year Awarded",Summary
3-UH3-AR077360-03S2,"Increasing Participant Diversity in a 'Sequenced-Strategy to Improve Outcomes in People with Knee Osteoarthritis Pain (SKOAP)","Clinical Research in Pain Management","Pain Management Effectiveness Research Network",NIAMS,"JOHNS HOPKINS UNIVERSITY","COHEN, STEVEN  P","Baltimore, MD",2021,"Knee osteoarthritis is one of the leading causes of disability worldwide, particularly among older adults. Despite multiple guidelines for care, most patients do not receive adequate treatment, and about 30% are prescribed long-term opioids. This award will be used to recruit and support an early career faculty member from a group underrepresented in biomedicine. This research, part of the Pain Management Effectiveness Research Network will evaluate conservative and more aggressive treatments for knee osteoarthritis and determine which individual-level factors contribute to treatment outcomes."
"1 U19 NS126038-01","Site-directed RNA editing of Nav1.7 as a novel analgesic","Preclinical and Translational Research in Pain Management","Development and Optimization of Non-Addictive Therapies to Treat Pain",NINDS,"MARINE BIOLOGICAL LABORATORY, WOODS HOLE","ROSENTHAL, JOSHUA J.C.","New Haven, CT",2021,"Opioids are widely used pain treatments, despite their relative ineffectiveness for chronic pain and their high potential for misuse and addiction. There is thus an urgent need for alternative, non-addictive pain treatments. Genetic and functional studies of human pain disorders and animal models of pain have validated Nav1.7, a voltage-gated sodium channel as an attractive target for new pain treatments. Currently available blockers of these channels can sometimes provide symptomatic relief for patients but have worrisome side effects affecting the brain and heart. This study aims to develop and validate an innovative site-directed RNA editing strategy that will offer the ability to create new versions of molecules to block Nav1.7, toward establishing a novel, non-addictive approach to treat chronic pain."
3-U24-NS115678-01S1,"Increasing Diversity and Community Engagement in EPPIC-Net Research at the University of Washington","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"UNIVERSITY OF WASHINGTON","BACKONJA, MIROSLAV MISHA","Seattle, WA",2021,"A main goal of the NIH HEAL Initiative and the Early Phase Pain Intervention Clinical Network (EPPIC-Net) is to improve pain management by discovering and validating biomarkers and non-opioid pain medications. This award will leverage the resources at the University of Washington’s EPPIC-Net’s Specialized Clinical Centers by implementing and evaluating strategies to improve the engagement, recruitment, and retention of individuals from underserved racial/ethnic minority populations to participate in EPPIC-Net clinical trials. The site’s network spans multiple states and specialties, allowing access to geographically and demographically diverse patient populations, including underrepresented and underserved populations. "
1R41NS118992-01,"Development of selective calpain-1 inhibitors for chronic pain","Preclinical and Translational Research in Pain Management",,NINDS,"1910 GENETICS, INC.","NWANKWO, JENNIFER","Cambridge, MA",2021,"The need to develop non-opioid therapeutics for chronic pain is greater than ever.  One option being explored is inhibiting the activity of calpains – enzymes that have been shown to cause pain in animal models of chronic pain.  Using an artificial intelligence (AI)-driven drug discovery platform, researchers have uncovered and validated four calpain-1 inhibitors using biochemical assays.  This study by 1910 Genetics Inc. hopes to synthesize multiple analogs of its most potent discovered calpain-1 inhibitor and determine its effectiveness against calpain-2 and certain enzymes that break down proteins.  Findings that successfully significantly inhibit calpain-1 in at least one animal model of chronic pain could lead to the first oral, central nervous system penetrating selective calpain-1 inhibitor [non-opioid therapeutic] for chronic pain."
3UH3AR076573-03S2,"Randomized-controlled trial of virtual reality for chronic low back pain to improve patient-reported outcomes and physical activity: Understanding Patient Predictors of Response","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"CEDARS-SINAI MEDICAL CENTER","SPIEGEL, BRENNAN","Los Angeles, LA",2021,"Although digital health technologies are now widely available for both therapeutic and monitoring applications, there are wide variations in patient knowledge, attitudes, beliefs, and preferences regarding their uptake and effectiveness. There are also sociodemographic variations in willingness to participate in digital health research studies, both for chronic pain and other common disorders. However, few efforts have systematically examined patient-level predictors of digital health uptake and benefit among diverse individuals who experience chronic pain. This research will employ mixed methods to examine variations in engagement and benefit among diverse participants in a large clinical trial examining the benefits of virtual reality for treatment of chronic lower back pain."
"3 U24 NS113844-02S1","EPPIC-NET DCC","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"NEW YORK UNIVERSITY SCHOOL OF MEDICINE","PETKOVA, EVA","New York, NY",2021,"There is a clear public health imperative to improve the care and outcomes of people who experience severe acute and chronic pain. The Early Phase Pain Investigation Clinical Network (EPPIC-Net) is charged with conducting deep phenotyping and biomarker studies for specific pain conditions – and with conducting high-quality phase II clinical trials to test novel non-opioid pain treatments with academic and industry partners. This research will extend EPPIC-Net’s current portfolio to develop novel and efficient data-analytic methodologies for complex medical data, such as those that are expected to be generated by the clinical trials conducted by EPPIC-Net."
U24NS113850-03S1,"Clinical Coordinating Center for the Health Initiative in Early Phase Pain Investigation Clinical Network - Murray Supplement","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"MASSACHUSETTS GENERAL HOSPITAL","FAVA, MAURIZIO","Boston, MA",2021,"Key goals of the NIH HEAL Initiative are improving non-opioid pain management and expanding the workforce of clinical researchers working on individualized pain treatments know as pain precision medicine. This award enables an exceptional early career clinician with the opportunity to obtain expertise with high-quality pain-related biomarker assessment methods and biomarker-informed clinical trial design. This research centers on eating-related gastrointestinal functional/motility pain disorders – an understudied area of clinical pain science – and will prepare the clinician to be a future leader in the clinical pain research community."
"1 R34 NS126036-01","Synthesis of peripherally active CB1 agonists as analgesics","Preclinical and Translational Research in Pain Management","Development and Optimization of Non-Addictive Therapies to Treat Pain",NINDS,"ST. LOUIS COLLEGE OF PHARMACY","MAJUMDAR, SUSRUTA","St. Louis, MO",2021,"Current medications for chronic pain are largely ineffective and rely heavily on opioids, one contributor to the nation’s opioid crisis. The endocannabinoid system that consists of cannabinoid receptors (CB1R and CB2R) and their endogenous ligands is a natural pathway in the human body and has emerged as an alternative target for developing new pain medications with few side effects. Current molecules that bind to CB1R in the brain and spinal cord have psychoactive side effects, limiting their therapeutic use for treating chronic pain. This study aims to develop new molecules to bind to CB1R tightly and selectively, are metabolically stable, and are also unable to enter the brain."
1R43NS124421-01A1,"Development of Nav1.7 Monoclonal Antibodies for Treating Pain","Preclinical and Translational Research in Pain Management","Small Business Research and Development",NINDS,"INTEGRAL MOLECULAR","RUCKER, JOSEPH BENJAMIN","Philadelphia, PA",2021,"Many current pain relief treatments rely on use of opioid drugs. This research is conducting preclinical development on a non-addictive, non-opioid therapeutic that uses antibodies to target the sodium channel Nav1.7. This channel is known to be one of the primary routes for generating pain signals – thus it is a target for reducing pain. The antibody approach offers potential for greater specificity than small molecule approaches, potentially resulting in fewer side effects."
1R43NS119087-01A1,"Evaluating the Blood-Brain Barrier Bioavailability and in vivo Efficacy Potential of a Novel TAK1 Inhibitor Targeting Chronic Pain","Preclinical and Translational Research in Pain Management",,NINDS,"EYDIS BIO, INC.","SCARNEO, SCOTT","Durham, NC",2021,"Over-the-counter medicines such as non-steroidal anti-inflammatory drugs are ineffective for treating severe chronic pain and may have serious side effects from continued use, which limits treatment options. A kinase (an enzyme whose activity targets a specific molecule) called TAK1 is involved in the chronic pain process. This research will develop a molecule previously shown to be effective in a model of inflammatory pain that also inhibits TAK1. A main goal will be to determine if this inhibitor (takinib analog HS-276) can cross the blood-brain barrier and, if successful, pursue FDA  Investigative New Drug-enabling safety studies leading to a Phase I clinical trial and a potential new chronic pain treatment."
"3 U24 NS115691-01S1","UPENN HEAL - Pain Clinical Trial Network Specialized Clinical Center","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"UNIVERSITY OF PENNSYLVANIA","FARRAR, JOHN T","Philadelphia, PA",2021,"A significant gap exists in understanding of the barriers blocking access to specialized care for children of color who experience headaches, as well as to understand and appreciate the impact of undertreatment on a child’s functional ability and quality of life. Long-term, this research aims to understand these barriers to care and test interventions to remedy disparities. As the first step, this project's primary objective is to identify socioeconomic and clinical factors that lead children experiencing headache to seek care in an emergency department in lieu of outpatient neurology care. The results of this research will help to inform efforts to reduce the negative effects of emergency department overuse in this population and guide them to potentially more appropriate outpatient care."
3-UH3-DA050173-02S1,"Optimized Interventions to Prevent Opioid Use Disorder among Adolescents and Young Adults in the Emergency Department","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"UNIVERSITY OF MICHIGAN AT ANN ARBOR","WALTON, MAUREEN A","Ann Arbor, MI",2021,"The emergency department is an ideal venue to reach and intervene with adolescents and young adults at risk for opioid misuse, particularly as young adults may disconnect from primary care when transitioning out of care in pediatric settings. This study will evaluate the efficacy of interventions of varying type and intensity to prevent or reduce opioid misuse or opioid use disorder. The research leverages technology that is appealing to youth to facilitate intervention delivery by health coaches. In this study, adolescents and young adults in the emergency department screening positive for opioid use or misuse will be randomly assigned to one of four intervention conditions with outcomes measured at 4, 8, and 12 months. Technology-driven, scalable interventions delivered via health coaches allow for real-time tailoring to the rapidly changing opioid epidemic, with the potential to prevent an increase in opioid misuse among adolescents and young adults.  Black/African American youth are at increased risk for opioid and other substance use, but they often do not participate in research studies. As a result, it is not known how well prevention interventions work with Black/African American people. This supplement will focus on increasing participant diversity and inclusion by recruiting additional Black/African American participants for this ongoing randomized controlled study of technology-driven prevention interventions."
3U19AR076725-01S2,"HEALing LB3P: Profiling Biomechanical, Biological and Behavioral phenotypes","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"UNIVERSITY OF PITTSBURGH AT PITTSBURGH","SOWA, GWENDOLYN A","Pittsburgh, PA",2021,"Identifying optimal chronic low back pain treatments on a patient-specific basis is an important and unresolved challenge. Tailoring interventions according to patient movement characteristics is one option. This research is characterizing patients based on spinal motion during functional tasks and daily activities and will use artificial intelligence to objectively characterize motions of the spine during both clinical assessments and day-to-day life. During clinical assessments, participants will be asked to perform functional tasks while wearing motion sensors. Data collected from the sensors will be used to identify tasks of interest, such as activities of daily living and aberrant/painful motions. An artificial intelligence approach will then interpret data collected continuously during assessment in patients’ homes over a 7-day testing period. Ultimately, this data could be used to help clinicians tailor treatments that are responsive to a patient’s real-world functional impairments."
1UG3NS123958-01,"Development of a CCKBR-targeting scFv as Therapy for Chronic Pain Patients","Preclinical and Translational Research in Pain Management","Development and Optimization of Non-Addictive Therapies to Treat Pain",NINDS,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR","WESTLUND-HIGH, KARIN N","Albuquerque, NM",2021,"Cholecystokinin B receptor (CCKBR) is a molecule found in the brain that helps regulate anxiety and depression but also influences the development of tolerance to opioids. CCKBR levels are also increased in models of nerve injury-induced (neuropathic) pain. Therefore, targeting CCKBR may offer a new approach to treating neuropathic pain and the associated anxiety and depression. Researchers have developed mouse antibodies that can inactivate CCKBR. However, to be usable in humans without causing an immune response, these antibodies need to be modified to include more human sequences. This project will use a fragment of the CCKBR antibody, modify it with the addition of human antibody sequences, and then select the clones that bind most strongly and specifically to human CCKBR. These will then be tested in cell and animal models of neuropathic pain to identify the most promising candidates for further evaluation in humans."
2R44NS115460-02,"Drug Free Nerve Block Device for the Relief of Pain and Symptoms in Migraines and other Headaches","Preclinical and Translational Research in Pain Management","Small Business Research and Development",NINDS,"THERMAQUIL, INC.","POPIELARSKI, STEVE","Philadelphia, PA",2021,"Migraines and other headaches are often debilitating for patients, yet few treatment options providing sustained relief exist. All available therapies, including frequently prescribed opioids, have considerable side effects or limitations. Therefore, novel treatment approaches are needed to reduce or eliminate the need to use opiates and other systemic pharmaceuticals. Thermaquil Inc. has developed a new way of stopping migraine and other headache pain by noninvasively blocking pain signal transmission in the head, which in initial studies allowed patients to discontinue use of opioids and other addictive pain medications. Thermaquil will now be conducting a larger randomized controlled trial to demonstrate the safety and effectiveness of this novel approach. After a baseline period, patients will be randomly assigned to the active or control condition and receive a single treatment. The study will continue for 12 weeks with the active versus control arms, before all patients will be given active therapy for an additional 12 weeks."
3-U24-AR076730-01S1,"Back Pain Consortium (BACPAC) Research Program Data Integration, Algorithm Development and Operations Management Center","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"UNIV OF NORTH CAROLINA CHAPEL HILL","LAVANGE, LISA","Chapel Hill, NC",2021,"The NIH Back Pain Consortium (BACPAC) Research Program brings together leading centers with expertise in studying and treating chronic low back pain to advance understanding of the mechanisms that underlie the condition and to identify novel treatment strategies. BACPAC is undertaking a multisite precision medicine clinical trial taking into account patient-specific information to understand which patients with chronic low back pain respond best to various nonopioid, evidence-based treatments. The trial seeks to enroll a racially, ethnically, and socioeconomically diverse patient population to ensure that the results are applicable to all Americans with chronic low back pain. This project aims to develop comprehensive recruitment and retention plans for study sites that can recruit from historically underrepresented populations in clinical research (e.g., Black and Hispanic populations) and to provide dedicated financial resources to engage patients from these populations using tailored, culturally appropriate strategies."
"3 UG3 CA261067-02S1","Optimizing the use of ketamine to reduce chronic postsurgical pain","Clinical Research in Pain Management","Pain Management Effectiveness Research Network",NCI,"NEW YORK UNIVERSITY SCHOOL OF MEDICINE","WANG, JING","New York, NY",2021,"Social determinants of heath may affect breast cancer diagnosis and disease staging at time of mastectomy. It is unclear if socioeconomic factors such as annual income, marital status/single parent household, number of children, distance from the hospital, and other life stressors facing individuals from under-resourced populations affect development of postmastectomy pain syndrome or response to the drug ketamine. This research will analyze these factors toward mitigating post-mastectomy pain. This analysis will also serve as the basis for further research to define pathways that minimize health disparities plays in the development of chronic, post-surgical pain. The ultimate goal of this research is to normalize risk for chronic pain after breast surgery.

 "
"3 UH3 DA050174-02S2","Preventing Substance Misuse and Substance Use Disorder by Examining Service Provider Interactions, Discrimination, Ethnic Identity, Sexual Orientation Identity, and Housing First Outcomes","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"OHIO STATE UNIVERSITY","SLESNICK, NATASHA","Columbus, OH",2021,"The parent project’s Housing First initiative can be divided into two interconnected goals: (1) to reduce the likelihood of substance misuse and the development of an opioid use disorder and (2) to provide youth with housing stability and opioid and related risk prevention services that will assist them in exiting homelessness. The proposed supplement project complements the goals of the parent grant project by exploring two additional components that are related to exiting homelessness and reducing substance misuse or the development of opioid use disorder: (1) to further investigate youth’s interactions with social service providers, via qualitative methods, with the goal of cultivating a detail understanding actionable practices as it relates to fostering successful interactions between substance using homeless youth and service providers and (2) to evaluate, via quantitative methods, the extent to which ethnic identity protects youth from the negative effects of discrimination, substance misuse, and the development of a opioid use disorder."
